?????	??????	?????	??????
USD	????? ??????	EGP 50.6600	EGP 50.5600
EUR	????	EGP 53.3450	EGP 52.8858
GBP	????????	EGP 64.3078	EGP 63.8168
JPY	??	EGP 0.3404	EGP 0.3375
CHF	???? ??????	EGP 56.5970	EGP 56.1715
AUD	????? ???????	EGP 0.0000	EGP 0.0000
CAD	????? ????	EGP 35.7264	EGP 35.5306
DKK	????? ???????	EGP 7.1503	EGP 7.0904
SEK	????? ?????	EGP 4.7874	EGP 4.7399
NOK	????? ??????	EGP 4.5815	EGP 4.5132
SAR	???? ?????	EGP 13.4806	EGP 13.4540
AED	???? ???????	EGP 13.7952	EGP 13.7503
QAR	???? ????	EGP 13.9752	EGP 12.9309
KWD	????? ?????	EGP 164.3365	EGP 156.7360
JOD	????? ?????	EGP 71.5537	EGP 70.8851
BHD	????? ??????	EGP 134.4373	EGP 131.7088
OMR	???? ?????	EGP 131.9271	EGP 129.8908
